,,FAYDALI MODEL TESCİLLERİNİN İLLERE GÖRE DAĞILIMI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
İl kodu,İller,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,ADANA,0,0,0,2,1,0,2,2,8,10,7,15,21,24,31,30,21,30,24,23,23,21,24,2,6,23,19
02,ADIYAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,3,1,2,1,0,0,0
03,AFYON,0,0,0,0,1,0,0,2,1,4,2,1,4,2,6,9,5,7,5,3,6,10,16,2,5,3,4
04,AĞRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,AMASYA,0,0,0,2,0,0,0,0,0,2,0,0,2,2,5,1,2,1,2,6,2,3,3,0,2,1,3
06,ANKARA,0,0,34,17,22,7,26,48,86,62,94,147,164,121,176,159,177,203,216,251,316,271,163,48,83,98,230
07,ANTALYA,0,0,0,1,1,2,2,1,8,10,11,26,30,16,36,32,45,51,34,50,40,52,18,3,6,22,47
08,ARTVİN,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0
09,AYDIN,0,0,0,2,1,1,1,1,2,5,5,13,22,26,14,14,19,13,25,27,27,19,16,8,8,8,17
10,BALIKESİR,0,0,0,1,0,0,4,5,4,8,16,5,9,6,9,16,6,15,10,7,15,6,20,7,4,10,16
11,BİLECİK,0,0,0,0,0,0,0,0,1,0,0,1,5,8,3,1,1,0,0,2,0,0,0,1,0,1,3
12,BİNGÖL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,BİTLİS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,BOLU,0,0,2,3,0,0,1,0,0,0,0,1,0,1,2,21,3,1,1,6,4,3,0,0,1,0,0
15,BURDUR,0,0,1,2,1,2,2,1,3,2,3,7,10,3,12,6,9,10,5,5,7,11,6,1,3,4,6
16,BURSA,0,0,10,19,25,23,31,33,67,51,87,139,152,147,150,151,145,183,141,199,191,208,182,21,40,121,255
17,ÇANAKKALE,0,0,0,0,1,0,1,1,0,0,3,3,3,4,6,90,1,2,4,5,2,2,1,0,0,3,3
18,ÇANKIRI,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,1,0,1,0,1,1,0,7
19,ÇORUM,0,0,1,0,2,0,1,1,2,2,0,3,22,11,11,6,8,9,12,6,11,1,3,1,0,1,5
20,DENİZLİ,0,0,0,0,1,3,0,4,2,7,3,17,15,23,26,20,27,39,32,36,40,36,28,4,7,18,32
21,DİYARBAKIR,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,2,0,3,2,0,0,0,3,6
22,EDİRNE,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,0,1,2,0,3,4,0,0,0,0,1,2
23,ELAZIĞ,0,0,1,0,0,0,0,1,1,1,1,0,1,4,3,0,3,2,0,3,2,5,2,1,1,1,7
24,ERZİNCAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1
25,ERZURUM,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,7,7,0,2,4,3,2,0,0,5,8
26,ESKİŞEHİR,0,0,1,3,12,9,9,9,13,9,6,28,19,11,19,26,19,18,26,20,22,20,20,1,5,13,33
27,GAZİANTEP,0,0,0,0,0,0,0,3,1,3,5,15,16,14,22,24,16,23,26,18,39,30,24,3,11,27,39
28,GİRESUN,0,0,0,0,0,0,0,0,2,1,2,1,0,1,3,1,2,5,6,8,4,3,1,0,3,1,4
29,GÜMÜŞHANE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
30,HAKKARİ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
31,HATAY,0,0,0,0,2,1,0,3,1,1,1,1,8,5,6,6,4,5,4,9,12,8,4,0,1,3,10
32,ISPARTA,0,0,0,1,1,0,3,0,1,1,0,4,5,4,1,8,8,6,4,6,6,7,16,0,2,1,9
