 ,,DISTRIBUTION OF  GRANTED PATENTS WITH RESPECT TO CITIES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
City Codes,Cities,,,,,,,,,,,,,,,,,,,,,,
01,ADANA,0,0,0,0,0,0,0,0,1,2,0,2,4,6,10,8,6,10,8,8,8,18
02,ADIYAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
03,AFYON,0,0,0,0,0,0,0,0,0,1,1,1,5,0,1,4,5,3,3,1,5,2
04,AĞRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,AMASYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
06,ANKARA,12,9,2,3,6,3,6,11,10,6,12,18,34,33,52,71,78,96,109,116,186,214
07,ANTALYA,0,2,0,1,0,1,0,0,1,1,1,0,2,6,7,5,8,6,15,9,23,13
08,ARTVİN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09,AYDIN,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,5,5,4,8
10,BALIKESİR,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,2,2,2,4,3,4,4
11,BİLECİK,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,1,1,2,3,3,2
12,BİNGÖL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,BİTLİS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,BOLU,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,1,1
15,BURDUR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,1,6,0
16,BURSA,5,3,0,2,0,1,3,1,2,2,3,6,12,16,23,38,74,112,173,136,131,94
17,ÇANAKKALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,3,2
18,ÇANKIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0
19,ÇORUM,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,3,5,4,2,1
20,DENİZLİ,0,0,0,0,0,0,0,0,0,0,2,0,1,7,5,11,5,4,15,4,8,6
21,DİYARBAKIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
22,EDİRNE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,3,2,4
23,ELAZIĞ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,4
24,ERZİNCAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ERZURUM,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,4,0,1,1,3
26,ESKİŞEHİR,3,1,0,2,1,0,0,2,0,0,1,0,0,4,5,9,6,8,17,12,27,24
27,GAZİANTEP,1,0,0,0,0,0,1,0,1,2,2,1,4,7,5,9,6,7,10,6,13,20
28,GİRESUN,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,1,5,1,3
29,GÜMÜŞHANE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0
30,HAKKARİ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,HATAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,1,5
32,ISPARTA,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,4,3,6,8,4
33,MERSİN,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,4,2,5,4,5,7,6
34,İSTANBUL,14,12,5,14,13,7,33,41,53,35,51,63,213,187,251,314,417,490,540,639,842,956
35,İZMİR,5,3,0,2,1,0,3,4,16,8,5,6,12,25,21,34,31,42,59,52,86,96
36,KARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37,KASTAMONU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6
38,KAYSERİ,4,4,0,0,0,0,1,1,0,2,3,1,5,3,1,6,13,7,17,9,19,24
39,KIRKLARELİ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,2,6,6
40,KIRŞEHİR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
41,KOCAELİ,4,2,0,3,4,10,4,8,3,3,4,3,4,6,10,27,29,54,74,50,104,66
42,KONYA,1,4,0,0,2,0,1,0,1,0,0,2,5,8,4,13,39,28,37,38,42,45
43,KÜTAHYA,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,6,0,2,3,3,4
44,MALATYA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,1,3,6,4
45,MANİSA,1,2,0,1,1,1,2,3,2,2,1,3,0,4,21,31,48,56,55,44,59,19
46,KAHRAMANMARAŞ,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,1,1,2
47,MARDİN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
48,MUĞLA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,3,2,2,5
49,MUŞ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,NEVŞEHİR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,3
51,NİĞDE,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,0,0,1,2,2,1,0
52,ORDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,2
53,RİZE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,1,0,4
54,SAKARYA,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,5,13,14,13,18,20,27
55,SAMSUN,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,3,6,6,7,8
56,SİİRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
