,,,,,,,,,,,,
,ÜNİVERSİTELER HAKKINDA GENEL BİLGİLER,,,,,,,,,,,
,Birim Adı,Kuruluş Yılı,Tür,İl,Bölge,Web Adresi,E-Posta,Telefon,Fax,Adres,Rektör,
,ABDULLAH GÜL ÜNİVERSİTESİ,21.07.2010,DEVLET,KAYSERİ,İÇ ANADOLU,http://www.agu.edu.tr/rektorluk-ofisi,ozelkalem@agu.edu.tr,03522248800,0352 338 88 28,Barbaros Mahallesi Sümer Kampüsü Kocasinan-KAYSERİ,CENGİZ YILMAZ,
,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,18.05.2007,VAKIF,İSTANBUL,MARMARA,http://www.acibadem.edu.tr,info@acibadem.edu.tr,02165004444,02165775048,İçerenköy Mah. Kayışdağı Cad. No:32 İçerenköy 34752 Ataşehir İstanbul,AHMET ŞAHİN,
,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,14.04.2011,DEVLET,ADANA,AKDENİZ,http://www.atu.edu.tr,rektorluk@atu.edu.tr,03224550001,03224550002,"Balcalı Mahallesi, Çatalan Caddesi No:201/1 01250 Sarıçam/ADANA",MEHMET TÜMAY,
,ADIYAMAN ÜNİVERSİTESİ,17.03.2006,DEVLET,ADIYAMAN,GÜNEYDOĞU ANADOLU,http://www.adiyaman.edu.tr/,bidb@adiyaman.edu.tr,04162233840,0416 223 38 43,"Adıyaman Üniversitesi, Altınşehir Mh. 3005 Sokak No:13 02040   ADIYAMAN",MEHMET TURGUT,
,AFYON KOCATEPE ÜNİVERSİTESİ,11.07.1992,DEVLET,AFYONKARAHİSAR,EGE,http://www.aku.edu.tr,ozkalem@aku.edu.tr,02724440303,0272 2281401,"Afyon Kocatepe Üniversitesi Rektörlüğü
ANS Kampusü Gazlıgöl Yolu Üzeri
",MEHMET KARAKAŞ,
,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,18.05.2018,DEVLET,AFYONKARAHİSAR,EGE,www.afsu.edu.tr,afsu@afsu.edu.tr,02722463335,02722281429,"Zafer Sağlık Külliyesi
Dörtyol Mah. 2078.Sok No:3
AFYONKARAHİSAR",NURULLAH OKUMUŞ,
,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,29.05.2007,DEVLET,AĞRI,DOĞU ANADOLU,http://www.agri.edu.tr,gensek@agri.edu.tr,04722162008,04722151182,Erzurum yolu  4 km 04100 Merkez / AĞRI,ABDULHALİK KARABULUT,
,AKDENİZ ÜNİVERSİTESİ,20.07.1982,DEVLET,ANTALYA,AKDENİZ,http://www.akdeniz.edu.tr,info@akdeniz.edu.tr,02422274400,02422274958,Akdeniz Üniversitesi Kampüs Antalya,ÖZLENEN ÖZKAN,
,,,,,,,,,,,,
,,,,,,,,,,,,
